国家,币种,之前价格,更新价格,税率,税,税后价,实时汇率
Algeria,DZD,13000.0,14000.0,-,0.0,14000.0,14030.47
Australia,AUD,159.99,149.99,10%,13.64,136.35,137.97
Austria,EUR,,104.99,20%,17.5,87.49,88.6
Bahrain,USD,,109.99,5%,5.24,104.75,100.0
Bangladesh,BDT,8500.0,8600.0,-,0.0,8600.0,8651.36
Belgium,EUR,,109.99,21%,19.09,90.9,88.6
Bermuda,USD,,99.99,-,0.0,99.99,100.0
Bolivia,BOB,699.99,689.99,-,0.0,689.99,692.39
Brazil,BRL,529.99,559.99,-,0.0,559.99,561.62
British Virgin Islands,USD,,99.99,-,0.0,99.99,100.0
Bulgaria,BGN,,209.99,20%,35.0,174.99,173.33
Cambodia,USD,,99.99,-,0.0,99.99,100.0
Canada,CAD,134.99,124.99,-,0.0,124.99,126.50999999999999
Cayman Islands,USD,,99.99,-,0.0,99.99,100.0
Chile,CLP,80000.0,97000.0,19%,15487.0,81513.0,83003.66
Colombia,COP,377000.0,392000.0,-,0.0,392000.0,394749.15
Costa Rica,CRC,58000.0,64000.0,-,0.0,64000.0,64196.799999999996
Croatia,HRK,,839.0,25%,167.8,671.2,667.57
Cyprus,EUR,,109.99,19%,17.56,92.43,88.6
Czechia,CZK,2899.99,2699.99,21%,468.59,2231.4,2261.08
Denmark,DKK,,829.0,25%,165.8,663.2,661.0
Ecuador,USD,,99.99,-,0.0,99.99,100.0
Egypt,EGP,1649.99,1599.99,-,0.0,1599.99,1577.43
El Salvador,USD,,99.99,-,0.0,99.99,100.0
France,EUR,,104.99,20%,17.5,87.49,88.6
Georgia,GEL,299.0,324.0,-,0.0,324.0,315.3
Germany,EUR,,104.99,19%,16.76,88.23,88.6
Ghana,GHS,580.0,610.0,-,0.0,610.0,618.5500000000001
Gibraltar,GBP,72.99,74.99,-,0.0,74.99,74.42
Greece,EUR,,109.99,24%,21.29,88.7,88.6
Hong Kong,HKD,,779.0,-,0.0,779.0,779.24
Hungary,HUF,38999.0,41999.0,27%,8928.92,33070.08,32862.509999999995
India,INR,9000.0,8800.0,18%,1342.37,7457.63,7463.299999999999
Indonesia,IDR,1416823.0,1428283.0,-,0.0,1428283.0,1421991.5999999999
Iraq,IQD,120000.0,146000.0,-,0.0,146000.0,147990.22
Ireland,EUR,,109.99,23%,20.57,89.42,88.6
Israel,ILS,349.9,299.9,-,0.0,299.9,310.40999999999997
Italy,EUR,,109.99,22%,19.83,90.16,88.6
Japan,JPY,10800.0,11500.0,-,0.0,11500.0,11434.01
Jordan,JOD,71.5,71.0,-,0.0,71.0,70.89999999999999
Kazakhstan,KZT,40990.0,42990.0,-,0.0,42990.0,43450.869999999995
Kenya,KES,11000.0,13000.0,16%,1793.1,11206.9,11266.67
Kuwait,USD,,99.99,-,0.0,99.99,100.0
Latvia,EUR,,109.99,21%,19.09,90.9,88.6
Liechtenstein,CHF,95.0,100.0,7.7%,7.15,92.85,92.96
Luxembourg,EUR,,104.99,17%,15.25,89.74,88.6
Macao,MOP,,799.0,-,0.0,799.0,802.6199999999999
Malaysia,MYR,454.99,444.99,6%,25.19,419.8,418.79
Mexico,MXN,2249.0,2449.0,16%,337.79,2111.21,2092.72
Micronesia,USD,,99.99,-,0.0,99.99,100.0
Monaco,EUR,99.99,104.99,20%,17.5,87.49,88.6
Morocco,MAD,969.99,919.99,-,0.0,919.99,922.84
Myanmar (Burma),MMK,140000.0,180000.0,-,0.0,180000.0,178610.44999999998
Netherlands,EUR,,109.99,21%,19.09,90.9,88.6
New Zealand,NZD,179.99,164.99,15%,21.52,143.47,143.32
Nigeria,NGN,39000.0,41500.0,-,0.0,41500.0,42376.61
Norway,NOK,1199.0,1099.0,25%,219.8,879.2,892.2900000000001
Oman,USD,99.99,109.99,5%,5.24,104.75,100.0
Pakistan,PKR,16700.0,17500.0,-,0.0,17500.0,17613.57
Panama,USD,,99.99,-,0.0,99.99,100.0
Paraguay,PYG,,700000.0,-,0.0,700000.0,692565.62
Peru,PEN,349.99,399.99,-,0.0,399.99,402.45
Philippines,PHP,,5050.0,-,0.0,5050.0,5069.84
Poland,PLN,489.99,519.99,23%,97.23,422.76,417.79
Portugal,EUR,,109.99,23%,20.57,89.42,88.6
Qatar,QAR,370.0,365.0,-,0.0,365.0,364.0
Romania,RON,,499.99,19%,79.83,420.16,438.97
Russia,RUB,8390.0,8999.0,20%,1499.83,7499.17,7417.610000000001
San Marino,EUR,84.99,89.99,-,0.0,89.99,88.6
Saudi Arabia,SAR,394.99,429.99,15%,56.09,373.9,375.0
Serbia,RSD,,12999.0,20%,2167.0,10832.0,10496.800000000001
Singapore,SGD,,149.98,7%,9.81,140.17,136.19
Slovenia,EUR,,109.99,22%,19.83,90.16,88.6
South Africa,ZAR,1999.99,1849.99,15%,241.3,1608.69,1577.71
South Korea,KRW,119000.0,130000.0,10%,11818.0,118182.0,118875.99
Spain,EUR,,109.99,21%,19.09,90.9,88.6
Sri Lanka,LKR,18750.0,20250.0,-,0.0,20250.0,20268.440000000002
Sweden,SEK,1199.0,1149.0,25%,229.8,919.2,897.67
Switzerland,CHF,,95.0,-,0.0,95.0,92.96
Taiwan,TWD,3130.0,2920.0,5%,139.05,2780.95,2787.9100000000003
Tanzania,TZS,233000.0,231000.0,-,0.0,231000.0,231367.66999999998
Thailand,THB,3125.0,3550.0,7%,232.24,3317.76,3291.65
Turkey,TRY,1029.99,1329.99,18%,202.88,1127.11,1126.59
Turks & Caicos Islands,USD,,99.99,-,0.0,99.99,100.0
Ukraine,UAH,,2699.99,-,0.0,2699.99,2661.19
United Arab Emirates,AED,389.99,384.99,5%,18.33,366.66,367.25
United Kingdom,GBP,96.99,89.99,20%,15.0,74.99,74.42
United States,USD,,99.99,-,0.0,99.99,100.0
Vatican City,EUR,84.99,89.99,-,0.0,89.99,88.6
Vietnam,VND,2350000.0,2250000.0,-,0.0,2250000.0,2287212.94
